,Year,State,Unemployment Rate,Opioid Related Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Prescriptions Dispensed by US Retailers in that year (millions)
0,1999,Alabama,6.621641791044777,39,4430141,0.9,0.6,1.2,116
1,1999,Arizona,9.251666666666667,250,5023823,5,4.4,5.6,116
2,1999,Arkansas,5.624666666666666,29,2651860,1.1,0.7,1.6,116
3,1999,California,7.499281609195402,1598,33499204,4.8,4.5,5,116
4,1999,Colorado,4.097395833333334,169,4226018,4,3.4,4.6,116
5,1999,Connecticut,2.7864583333333335,158,3386401,4.7,3.9,5.4,116
6,1999,Delaware,3.6750000000000003,32,774990,4.1,2.8,5.8,116
7,1999,Hawaii,6.508333333333333,34,1210300,2.8,1.9,3.9,116
8,1999,Idaho,6.127462121212122,32,1275674,2.5,1.7,3.5,116
9,1999,Illinois,4.559640522875817,544,12359020,4.4,4,4.8,116
10,1999,Indiana,3.3854166666666665,49,6044969,0.8,0.6,1.1,116
11,1999,Kansas,3.0434920634920637,26,2678338,1,0.6,1.4,116
12,1999,Kentucky,5.803819444444445,56,4018053,1.4,1.1,1.8,116
13,1999,Louisiana,6.728125,30,4460811,0.7,0.5,1,116
14,1999,Maine,4.802604166666667,32,1266808,2.5,1.7,3.6,116
15,1999,Maryland,4.310763888888889,503,5254509,9.6,8.7,10.4,116
16,1999,Massachusetts,3.3255952380952385,346,6317345,5.5,4.9,6.1,116
17,1999,Michigan,4.964457831325301,140,9897116,1.4,1.2,1.6,116
18,1999,Minnesota,4.050574712643678,67,4873481,1.4,1.1,1.7,116
19,1999,Missouri,3.8323188405797106,106,5561948,1.9,1.5,2.3,116
20,1999,Nevada,5.36421568627451,166,1934718,8.6,7.3,9.9,116
21,1999,New Hampshire,2.6791666666666667,41,1222014,3.4,2.4,4.6,116
22,1999,New Jersey,4.76031746031746,344,8359592,4.1,3.7,4.5,116
23,1999,New Mexico,6.756565656565656,187,1808082,10.3,8.9,11.8,116
24,1999,New York,5.320430107526882,664,18882725,3.5,3.2,3.8,116
25,1999,North Carolina,4.237416666666666,161,7949361,2,1.7,2.3,116
26,1999,Ohio,5.570170454545455,180,11335454,1.6,1.4,1.8,116
27,1999,Oklahoma,4.220670995670996,91,3437147,2.6,2.1,3.3,116
28,1999,Oregon,7.030324074074074,201,3393941,5.9,5.1,6.7,116
29,1999,Pennsylvania,5.031716417910448,328,12263805,2.7,2.4,3,116
30,1999,Rhode Island,3.705,36,1040402,3.5,2.4,4.8,116
31,1999,South Carolina,5.979891304347826,50,3974682,1.3,0.9,1.7,116
32,1999,Tennessee,5.411491228070176,91,5638706,1.6,1.3,2,116
33,1999,Texas,5.5109580052493445,379,20558220,1.8,1.7,2,116
34,1999,Utah,4.926724137931035,145,2203482,6.6,5.5,7.7,116
35,1999,Virginia,3.6348370927318294,210,7000174,3,2.6,3.4,116
36,1999,Washington,6.872863247863248,372,5842564,6.4,5.7,7,116
37,1999,West Virginia,8.027878787878787,34,1811799,1.9,1.3,2.6,116
